respondent_id,questionnaire_id,group_code,group,institution_code,questionnaire_number,mode,source_label,date_filled,sample1_code,sample1_format,sample2_code,sample2_format,child_age_years,child_gender,preschool_children_in_family,weekday_video_time,primary_device,content_chooser,co_viewing_frequency,precheck_frequency,selection_criteria_multi,content_quality_concern_1_5,knows_ai_content,has_given_ai_content,negative_reaction_seen,youtube_trust_1_5,sample1_likes,sample1_positive_value,sample1_safe,sample1_language_quality,sample1_age_fit,sample1_overall,sample1_guessed_origin,sample1_would_show,sample2_likes,sample2_positive_value,sample2_safe,sample2_language_quality,sample2_age_fit,sample2_overall,sample2_guessed_origin,sample2_would_show,open_q14_most_important,open_q15_what_avoid,selection_criteria_other_text,notes
P-04-04,Б-04-04-T7V1,Б,parent,04,04,paper,,,T7,text,V1,video,5,хлопчик,2,30–60 хв.,Телевізор,Я сам/-а,Рідко,Часто,Без насилля; Хороша мова,5,Так,Можливо,"Так, неодноразово",2,3,1,3,3,2,2,ШІ,Скоріше ні,5,4,5,4,5,4,ШІ,Так,"Вік, розвиток мовлення, тривалість, спокійна музика, поведінка героїв, межі, баланс фантазії.","Агресію, насильство, крик, груба мова, хаотична поведінка, швидкий темп, складний сюжет.",,
P-04-03,Б-04-03-T2V5,Б,parent,04,03,paper,,,T2,text,V5,video,6,дівчинка,1,1–2 год.,Смартфон,Разом,Іноді,Завжди,Позитивні цінності; Без насилля; Хороша мова,4,Так,Ні,Ні,1,4,2,5,4,5,4,ШІ,Так,4,2,2,3,3,3,ШІ,Скоріше так,"«Вік, мораль і цінності, відсутність агресії, зрозумілий сюжет, гумор.»","«Агресію, надмірну рекламу, перевантаження фантастикою без логіки, неправильну мову.»",,
P-03-06,Б-03-06-T8V3,Б,parent,03,06,paper,,,T8,text,V3,video,4,,2,До 30 хв.,,Я сам/-а,Іноді,Часто,Позитивні цінності; Без насилля; Хороша мова,5,Так,Можливо,Ні,1,4,3,4,4,4,4,ШІ,Так,4,4,4,4,4,4,ШІ,Скоріше так,"«Те, що розвиває пам’ять, уяву, сприймання та увагу.»","«Агресію, напругу.»",,
P-03-05,Б-03-05-T4V4,Б,parent,03,05,paper,,,T4,text,V4,video,5,,2,До 30 хв.,,Я сам/-а,Рідко,Завжди,Позитивні цінності; Хороша мова; Дитині подобається,5,Так,Ні,Ні,1,4,3,5,4,4,4,ШІ,Так,3,4,4,3,5,4,ШІ,Скоріше так,"«Те, що дає знання, розвиває мислення.»","«Неправильна мова, затурканий сюжет.»",,
P-04-02,Б-04-02-T4V6,Б,parent,04,02,paper,,,T4,text,V6,video,4,дівчинка,2,,Телевізор,Я сам/-а,Часто,Часто,Позитивні цінності; Спокійний темп,,Так,Ні,"Так, неодноразово",3,3,4,4,5,4,,ШІ,,1,1,2,2,,2,Важко сказати,Скоріше ні,"«Розвивати позитивні цінності, увагу, пам’ять, уяву.»","«Свідомо уникаємо того, що може негативно впливати на її розвиток, емоц. стан і поведінку.»«...на її розвиток, емоційний стан і поведінку.»",,
P-04-05,Б-04-05-T7V3,Б,parent,04,05,paper,,,T7,text,V3,video,3,дівчинка,2,30–60 хв.,Смартфон,Разом,Іноді,Завжди,Без насилля; Спокійний темп; Дитині подобається,3,Так,Можливо,"Так, один раз",3,4,5,5,5,3,5,Традиційний,Скоріше так,4,2,5,4,5,4,Важко сказати,Скоріше так,"«Відповідність вікові, безпечний, добрий зміст. Зміст, що сприяє розвитку.»","«Контент з насильством, агресією. Страшних сцен. Контент, що не відповідає віку дитини.»",,
P-03-07,Б-03-07-T3V5,Б,parent,03,07,paper,,,T3,text,V5,video,4,хлопчик,1,30–60 хв.,Телевізор,Я сам/-а,Часто,Завжди,Позитивні цінності; Спокійний темп; Хороша мова; Дитині подобається,4,Так,Можливо,Ні,4,5,5,5,5,5,5,Важко сказати,Так,3,1,2,5,2,2,ШІ,Скоріше ні,"ВІкові особливості, якість мови, позитивний приклад","Погана якість, токсичність, негативний приклад",,
P-04-01,Б-04-01-T9V6,Б,parent,04,01,paper,,,T9,text,V6,video,3,дівчинка,1,30–60 хв.,Телевізор,Я сам/-а,Часто,Завжди,Позитивні цінності; Спокійний темп; Хороша мова,4,Так,Можливо,Ні,5,4,4,4,5,5,4,Важко сказати,Скоріше так,4,4,5,5,5,4,ШІ,Скоріше так,"Вікові особливості, емоційна безпека, мова та якість контенту, терапевтичний елемент","Гіперстимуляція (швидка зміна кадрів). Пасивність героїв, токсичні кольори",,
P-01-07,Б-01-07-T6V3,Б,parent,01,07,paper,,,T6,text,V3,video,4,хлопчик,1,До 30 хв.,Смартфон,Разом,Завжди,Завжди,Позитивні цінності; Без насилля; Спокійний темп; Хороша мова; Дитині подобається; Знайома студія,5,Так,Можливо,"Так, один раз",4,5,5,5,5,5,5,Традиційний,Так,5,5,5,5,5,5,Важко сказати,Так,"Щоб відповідало віку дитини.
Чітка, правильна українська мова.»",«Без насилля.»,,
P-02-01,Б-02-01-T5V2,Б,parent,02,01,paper,,,T5,text,V2,video,4,дівчинка,2,30–60 хв.,Смартфон,Разом,Іноді,Завжди,Позитивні цінності; Хороша мова; Дитині подобається,5,Так,Ні,Ні,3,5,5,5,5,5,5,Традиційний,Так,5,5,5,5,5,5,Важко сказати,Скоріше так,"«Позитивні моральні цінності, спокійна мова.»",«Сцени насильства.»,,
P-01-03,Б-01-03-T9V2,Б,parent,01,03,paper,,,T9,text,V2,video,6,хлопчик,2,30–60 хв.,Планшет,Дитина,Рідко,Іноді,Без насилля,3,Так,Ні,"Так, один раз",4,5,5,5,5,5,5,Традиційний,Так,5,5,5,5,5,5,Традиційний,Так,"«Відповідає віку дитини, без насилля.»",«Без насилля.»,,
P-01-05,Б-01-05-T1V1,Б,parent,01,05,paper,,,T1,text,V1,video,5,хлопчик,2,До 30 хв.,Смартфон,Разом,Завжди,Завжди,Позитивні цінності; Без насилля; Спокійний темп; Хороша мова; Дитині подобається; Знайома студія,5,Так,Ні,Ні,4,5,5,5,5,5,5,Традиційний,Так,3,4,4,3,4,3,ШІ,Скоріше так,"Відповідність віку, цікавий сюжет",насилля,,
P-01-06,Б-01-06-T5V6,Б,parent,01,06,paper,,,T5,text,V6,video,5,дівчинка,2,До 30 хв.,Смартфон,Разом,Завжди,Завжди,Позитивні цінності; Без насилля; Спокійний темп; Хороша мова; Дитині подобається; Знайома студія,5,Так,Ні,"Так, один раз",4,5,5,5,5,5,5,Традиційний,Так,5,5,5,5,5,5,Важко сказати,Так,Відповідність віку дитині,безнасилля,,
P-01-04,Б-01-04-T7V4,Б,parent,01,04,paper,,,T7,text,V4,video,5,хлопчик,1,До 30 хв.,Телевізор,Разом,Завжди,Завжди,Позитивні цінності; Без насилля; Дитині подобається,4,Так,Ні,"Так, один раз",4,5,5,5,5,5,5,Традиційний,Так,5,5,5,5,5,5,Традиційний,Так,"Подобається дитині, позитивні цінності",Насилля,,
P-02-04,Б-02-04-T2V6,Б,parent,02,04,paper,,,T2,text,V6,video,4,хлопчик,1,30–60 хв.,Телевізор,Разом,Часто,Іноді,Позитивні цінності; Без насилля; Хороша мова; Дитині подобається,4,Так,Можливо,"Так, один раз",4,4,5,5,5,5,5,Традиційний,Так,5,4,4,4,5,4,Важко сказати,Так,"відповідальність віку, моральні цінності","російська мова, насильство",,
P-02-02,Б-02-02-T3V2,Б,parent,02,02,paper,,,T3,text,V2,video,4,хлопчик,1,30–60 хв.,Телевізор,Я сам/-а,Часто,Завжди,Позитивні цінності; Без насилля; Хороша мова,2,Так,Ні,"Так, один раз",3,4,5,5,5,5,5,Традиційний,Так,5,4,5,5,4,4,Важко сказати,Скоріше так,"вікові норми, моральні цінності","мова ворога, насильство",,
P-02-07,Б-02-07-T5V1,Б,parent,02,07,paper,,,T5,text,V1,video,4,дівчинка,1,30–60 хв.,Телевізор,Разом,Часто,Іноді,Без насилля; Хороша мова; Дитині подобається,3,Так,Можливо,"Так, один раз",3,4,5,5,5,5,5,Традиційний,Так,5,4,5,4,5,4,Важко сказати,Так,"моральні цінності, відповідність віку","російська мова, насилля",,
P-02-05,Б-02-05-T4V3,Б,parent,02,05,paper,,,T4,text,V3,video,3,дівчинка,1,1–2 год.,Телевізор,Я сам/-а,Часто,Завжди,Дитині подобається,2,"Чув(-ла), не впевнений(-а)","Так, свідомо",Ні,3,4,4,5,4,4,4,Традиційний,Так,4,5,4,4,5,4,Традиційний,Скоріше так,"Зацікавленість дитини, повчальність, та позитивні емоціх",Російської мови та агресії персонажів,,
